Long,Lat
126.31418,33.305888
126.314179,33.305888
126.3141781,33.305888
126.3141771,33.3058878
126.3141761,33.3058878
126.3141751,33.3058877
126.3141741,33.3058876
126.314173,33.3058875
126.314172,33.3058872
126.3141708,33.3058869
126.3141696,33.3058869
126.3141685,33.3058867
126.3141673,33.3058865
126.3141662,33.3058863
126.314165,33.3058857
126.3141638,33.3058852
126.3141625,33.305885
126.3141611,33.3058847
126.3141598,33.3058843
126.3141583,33.305884
126.3141569,33.3058836
126.3141554,33.3058833
126.3141538,33.305883
126.3141523,33.3058826
126.3141508,33.3058823
126.3141492,33.3058818
126.3141475,33.3058812
126.3141462,33.3058807
126.3141446,33.3058802
126.3141429,33.3058799
126.3141415,33.3058794
126.31414,33.305879
126.3141386,33.3058786
126.3141372,33.3058781
126.3141358,33.3058778
126.3141346,33.3058772
126.3141333,33.3058767
126.3141321,33.3058763
126.3141309,33.3058757
126.3141298,33.3058753
126.3141287,33.3058748
126.3141276,33.3058743
126.3141266,33.3058739
126.3141255,33.3058735
126.3141246,33.305873
126.3141236,33.3058726
126.3141225,33.3058722
126.3141215,33.3058717
126.3141205,33.3058715
126.3141195,33.3058711
126.3141186,33.3058708
126.3141176,33.3058705
126.3141166,33.3058702
126.3141155,33.3058699
126.3141145,33.3058696
126.3141133,33.3058693
126.3141122,33.305869
126.3141111,33.3058687
126.31411,33.3058683
126.3141089,33.3058678
126.3141077,33.3058674
126.3141066,33.305867
126.3141054,33.3058665
126.3141042,33.3058661
126.314103,33.3058656
126.3141016,33.3058651
126.3141004,33.3058647
126.3140992,33.3058641
126.3140978,33.3058635
126.3140965,33.3058629
126.314095,33.3058623
126.3140936,33.3058617
126.3140921,33.305861
126.3140905,33.3058603
126.3140891,33.3058596
126.3140876,33.305859
126.3140861,33.3058584
126.3140846,33.3058577
126.3140829,33.3058571
126.3140813,33.3058565
126.3140798,33.3058559
126.3140782,33.3058553
126.3140767,33.3058548
126.3140752,33.3058543
126.3140738,33.3058538
126.3140724,33.3058533
126.314071,33.3058527
126.3140697,33.3058522
126.3140684,33.3058516
126.314067,33.3058511
126.3140657,33.3058505
126.3140646,33.3058499
126.3140634,33.3058492
126.3140623,33.3058487
126.3140611,33.3058482
126.3140602,33.3058476
126.3140591,33.3058471
126.3140581,33.3058465
126.3140574,33.3058458
126.3140565,33.3058452
126.3140555,33.3058447
126.3140547,33.3058441
126.3140539,33.3058436
126.3140531,33.3058431
126.3140524,33.3058427
126.3140516,33.3058421
126.3140509,33.3058416
126.3140502,33.3058411
126.3140495,33.3058406
126.3140488,33.30584
126.3140481,33.3058394
126.3140474,33.3058389
126.3140465,33.3058384
126.3140458,33.3058378
126.3140449,33.3058372
126.3140441,33.3058366
126.3140433,33.3058359
126.3140424,33.3058353
126.3140416,33.3058346
126.3140408,33.3058338
126.3140398,33.3058331
126.3140389,33.3058324
126.314038,33.3058316
126.3140371,33.3058308
126.3140361,33.3058299
126.314035,33.305829
126.314034,33.3058282
126.314033,33.3058272
126.3140319,33.3058263
126.314031,33.3058254
126.3140301,33.3058244
126.3140292,33.3058233
126.314028,33.3058225
