Long,Lat,UTM_X(East),UTM_Y(North)
126.3146975,33.3054534,249981.546270852,3688368.90429655
126.3146976,33.3054534,249981.555584206,3688368.9040567
126.3146977,33.3054536,249981.565468852,3688368.92599969
126.3146976,33.3054535,249981.555869854,3688368.91514812
126.3146974,33.3054534,249981.5369575,3688368.90453641
126.3146973,33.3054535,249981.527929798,3688368.91586769
126.3146972,33.3054536,249981.518902096,3688368.92719897
126.3146972,33.3054535,249981.518616447,3688368.91610755
126.314697,33.3054536,249981.500275393,3688368.92767868
126.3146973,33.3054536,249981.528215447,3688368.92695911
126.3146976,33.3054536,249981.556155503,3688368.92623955
126.3146976,33.3054536,249981.556155503,3688368.92623955
126.3146977,33.3054536,249981.565468852,3688368.92599969
126.3146979,33.3054537,249981.584381206,3688368.9366114
126.3146978,33.3054537,249981.575067855,3688368.93685126
126.3146979,33.3054537,249981.584381206,3688368.9366114
126.314697,33.3054536,249981.500275393,3688368.92767868
126.3146962,33.3054535,249981.425482931,3688368.91850611
126.3146956,33.3054533,249981.369031524,3688368.8977624
126.3146954,33.3054533,249981.350404821,3688368.89824211
126.3146951,33.3054533,249981.322464765,3688368.89896168
126.3146948,33.3054534,249981.29481036,3688368.91077268
126.3146943,33.3054534,249981.248243603,3688368.91197196
126.314694,33.3054534,249981.220303549,3688368.91269153
126.314694,33.3054535,249981.220589198,3688368.92378295
126.314694,33.3054534,249981.220303549,3688368.91269153
126.3146939,33.3054534,249981.210990195,3688368.91293139
126.3146938,33.3054534,249981.201676843,3688368.91317124
126.3146936,33.3054535,249981.18333579,3688368.92474238
126.3146934,33.3054535,249981.164709087,3688368.92522209
126.3146934,33.3054535,249981.164709087,3688368.92522209
126.3146933,33.3054534,249981.155110086,3688368.91437053
126.3146933,33.3054533,249981.154824437,3688368.9032791
126.314693,33.3054535,249981.127455682,3688368.92618152
126.3146931,33.3054535,249981.136769033,3688368.92594166
126.3146929,33.3054535,249981.118142328,3688368.92642138
126.3146926,33.3054536,249981.090487923,3688368.93823237
126.3146925,33.3054535,249981.080888922,3688368.92738081
126.3146924,33.3054535,249981.071575571,3688368.92762066
126.3146925,33.3054535,249981.080888922,3688368.92738081
126.3146926,33.3054535,249981.090202274,3688368.92714095
126.3146925,33.3054535,249981.080888922,3688368.92738081
126.3146924,33.3054535,249981.071575571,3688368.92762066
126.3146923,33.3054536,249981.062547869,3688368.93895194
126.3146922,33.3054537,249981.053520167,3688368.95028323
126.3146919,33.3054536,249981.025294463,3688368.93991137
126.314692,33.3054537,249981.034893462,3688368.95076294
126.314692,33.3054537,249981.034893462,3688368.95076294
126.3146921,33.3054538,249981.044492465,3688368.96161451
126.314692,33.3054537,249981.034893462,3688368.95076294
126.314692,33.3054538,249981.035179111,3688368.96185436
126.3146918,33.3054539,249981.016838061,3688368.9734255
126.3146915,33.305454,249980.989183654,3688368.9852365
126.3146911,33.3054542,249980.952501547,3688369.00837877
126.3146913,33.305454,249980.970556951,3688368.98571621
126.3146916,33.305454,249980.998497007,3688368.98499664
126.3146913,33.3054541,249980.970842601,3688368.99680764
126.3146911,33.3054542,249980.952501547,3688369.00837877
126.3146909,33.305454,249980.933303546,3688368.98667564
126.3146907,33.3054541,249980.914962493,3688368.99824678
126.3146905,33.3054542,249980.896621437,3688369.00981792
126.3146904,33.3054543,249980.887593738,3688369.0211492
126.3146905,33.3054542,249980.896621437,3688369.00981792
126.3146904,33.3054543,249980.887593738,3688369.0211492
126.3146905,33.3054542,249980.896621437,3688369.00981792
126.3146906,33.3054543,249980.906220441,3688369.02066948
126.3146907,33.3054542,249980.915248142,3688369.0093382
126.3146906,33.3054542,249980.905934791,3688369.00957806
126.3146903,33.3054543,249980.878280384,3688369.02138906
126.3146903,33.3054544,249980.878566034,3688369.03248048
126.3146902,33.3054544,249980.869252683,3688369.03272034
126.3146903,33.3054544,249980.878566034,3688369.03248048
126.3146902,33.3054544,249980.869252683,3688369.03272034
126.3146901,33.3054545,249980.860224981,3688369.04405162
126.3146902,33.3054545,249980.869538332,3688369.04381176
126.3146901,33.3054547,249980.86079628,3688369.06623447
126.3146899,33.3054548,249980.842455228,3688369.07780561
126.3146899,33.3054549,249980.842740877,3688369.08889703
126.3146899,33.3054549,249980.842740877,3688369.08889703
126.3146898,33.305455,249980.833713176,3688369.10022831
126.3146899,33.305455,249980.843026527,3688369.09998846
126.3146898,33.3054551,249980.833998825,3688369.11131974
126.3146898,33.3054552,249980.834284475,3688369.12241116
126.3146897,33.3054553,249980.825256774,3688369.13374245
126.3146897,33.3054554,249980.825542423,3688369.14483387
126.3146895,33.3054554,249980.806915721,3688369.14531358
126.3146895,33.3054554,249980.806915721,3688369.14531358
126.3146896,33.3054553,249980.81594342,3688369.1339823
126.3146895,33.3054554,249980.806915721,3688369.14531358
126.3146893,33.3054555,249980.788574666,3688369.15688472
126.314689,33.3054555,249980.760634612,3688369.1576043
126.3146892,33.3054555,249980.779261317,3688369.15712458
